other_feature,floorplan,url,outdoor_feature,rental_yield,street_address,allowance,post_code,property_id,description,property_type,title,bond,bed,car,crawl_date,agent,median_rent,date_available,bathroom,suburb,agency,indoor_feature
,http://www.inspectrealestate.com.au/RegisterOnline/Register.aspx?agentID=ipm03&uniqueID=43117.1&source=REA,https://www.realestate.com.au/property-apartment-qld-sherwood-424734602,"Remote Garage,Secure Parking,Garage Spaces:,2,Balcony","<span class=""rate""></span>",403/47 Hood Street,Pet Friendly,4075,"[424734602, 424734602]","This near new, spacious apartment is sure to impress! Finished to the highest standard with a modern layout, you won't want to miss the chance to inspect. This boutique complex is located only a 700m walk to the Sherwood train station, allowing you to take full advantage of the public transport facilities. ",Apartment,"MODERN, SPACIOUS, STUNNING CITY VIEWS!","$1,800",2,2,"[datetime.date(2018, 9, 26)]",Tahlia Halstead,"<span class=""price""></span>",Wed 31-Oct-18,2,Sherwood,Image Property - ASPLEY,"Ensuite:,1,Intercom,Built-in Wardrobes,Dishwasher,Air Conditioning"
,Not provided,https://www.realestate.com.au/property-house-qld-corinda-424794666,"Carport Spaces:,2,Deck","<span class=""rate""></span>",29 Oxley Tce,,4075,"[424794666, 424794666]",Positioned in a quiet street you wouldn’t know you are so close to all amenities.,House,Private and very cute house!,"$1,600",2,2,"[datetime.date(2018, 9, 26)]","Jonathan Najarro,Jaclyn Lazarou","<span class=""price""></span>",Sat 06-Oct-18,1,Corinda,Place - Graceville,"Toilets:,1,Floorboards,Built-in Wardrobes,Dishwasher,Air Conditioning"
Property Type: House Garaging / carparking: Open carport,Not provided,https://www.realestate.com.au/property-house-qld-darra-424727482,"Carport Spaces:,1,Open Car Spaces:,2,Fully Fenced","<span class=""rate""></span>",24 Kokoda Street,Pet Friendly,4076,"[424727482, 424727482]","Looking for a great place for the kids and dogs to have room to run around? This lovely home is for you. Boasting timber floors throughout, screens, air-conditioning in master bedroom and shed for additional storage, this neat and tidy home is a great property to secure!",House,Under Application,"$1,300",3,3,"[datetime.date(2018, 9, 26)]",Jess Kindt,"<span class=""price""></span>",Available Now,1,Darra,Harcourts Marketplace - OXLEY,"Built-in Wardrobes,Dishwasher,Air Conditioning"
"Built-In Wardrobes, Close to Schools, Close to Shops, Close to Transport, Garden",Not provided,https://www.realestate.com.au/property-house-qld-richlands-424593150,"Secure Parking,Garage Spaces:,2,Balcony","<span class=""rate""></span>",25 Balgowan Street,Pet Friendly,4077,"[424593150, 424593150]","If you are looking or a quality home with lots of space in a great location, this one is for you. This home features;",House,"QUALITY, SPACE AND GREAT LOCATION","$1,960",4,2,"[datetime.date(2018, 9, 26)]","Ashleah Lucey,Ben Gebbett","<span class=""price""></span>",Available Now,2,Richlands,Specialists in Property - Bellbird Park,Floorboards
"Built-In Wardrobes, Close to Schools, Close to Shops, Close to Transport, Garden",https://www.realestate.com.au/floorplan_new.ds?id=424619930&theme=rea.rent,https://www.realestate.com.au/property-house-qld-corinda-424619930,"Garage Spaces:,2","<span class=""rate""></span>",128 Lynne Grove Avenue,,4075,"[424619930, 424619930]","The grand proportions of this newly constructed single level home are evident from your first step into the welcoming foyer, ensuring space will never be lacking with ample room for a large family or frequent entertainers. Offering three separate entertaining areas and four generous bedrooms spread out over a spacious and unique floor plan, this home exceeds all expectations and is sure to impress. Situated in a sought after, family friendly street that enjoys easy access to parklands, playgrounds, dog park and walking tracks. ",House,Spectacular family home in desirable location!,"$2,800",4,2,"[datetime.date(2018, 9, 26)]",Brandon Collinson,"<span class=""price""></span>",Available Now,2,Corinda,Ray White - Toowong,"Toilets:,3,Air Conditioning"
"Built-In Wardrobes, Close to Shops, Garden",Not provided,https://www.realestate.com.au/property-townhouse-qld-oxley-423346566,"Garage Spaces:,1","<span class=""rate""></span>",4/90 Jutland Street,,4075,"[423346566, 423346566]","This 3 bedroom, 2.5 bathroom near new townhouse is set in a resort style complex. ",Townhouse,Oxley - Near Airconditioned New Townhouse,"$1,600",3,1,"[datetime.date(2018, 9, 26)]",West End Rentals,"<span class=""price""></span>",Mon 22-Oct-18,2,Oxley,Ray White - West End,"Toilets:,1,Air Conditioning"
,https://www.realestate.com.au/floorplan_new.ds?id=424729610&theme=rea.rent,https://www.realestate.com.au/property-house-qld-sherwood-424729610,"Secure Parking,Garage Spaces:,2,Deck,Outdoor Entertaining Area","<span class=""rate""></span>",20 Douglas Street,,4075,"[424729610, 424729610]",The ultra-private home makes the most of its elevated position and serene views through a grand rear deck ideal for waterfront entertaining for your own peace of tranquility.,House,River Views Inspect Now!,"$3,000",4,2,"[datetime.date(2018, 9, 26)]","Jonathan Najarro,Jaclyn Lazarou","<span class=""price""></span>",Available Now,2,Sherwood,Place - Graceville,"Living Areas:,1,Toilets:,2,Floorboards,Built-in Wardrobes,Dishwasher,Air Conditioning"
,Not provided,https://www.realestate.com.au/property-unit-qld-sherwood-424733854,"Garage Spaces:,1","<span class=""rate""></span>",1/22 Mayhew Street,,4075,"[424733854, 424733854]","Conveniently located in a quiet street, mid-way between Corinda and Sherwood shopping centres this three level townhouse has a lot to offer. ",Unit,SPACIOUS THREE LEVEL TOWNHOUSE,"$1,440",2,1,"[datetime.date(2018, 9, 26)]",Zoe Wales,"<span class=""price""></span>",Fri 26-Oct-18,1,Sherwood,Ray White Sherwood/Graceville,
,https://www.realestate.com.au/floorplan_new.ds?id=424736026&theme=rea.rent,https://www.realestate.com.au/property-townhouse-qld-graceville-424736026,"Secure Parking,Garage Spaces:,2,Balcony,Courtyard,Swimming Pool - Inground","<span class=""rate""></span>",1/95 Strickland Terrace,,4075,"[424736026, 424736026]","Tucked away in a quiet private complex , this two storey home offers generously proportioned living areas.",Townhouse,A Townhouse for Fantastic family living in Graceville,"$1,960",3,2,"[datetime.date(2018, 9, 26)]","Jonathan Najarro,Jaclyn Lazarou","<span class=""price""></span>",Sat 10-Nov-18,2,Graceville,Place - Graceville,"Ensuite:,1,Living Areas:,1,Toilets:,2,Dishwasher,Air Conditioning"
,Not provided,https://www.realestate.com.au/property-house-qld-richlands-420119518,"Garage Spaces:,2","<span class=""rate""></span>",57 Littleton Road,,4077,"[420119518, 420119518]","Just minutes to park, Richlands train station, local shops and cafes sits this lowset brick home which features:",House,LOVELY FAMILY HOME,"$1,760",4,2,"[datetime.date(2018, 9, 26)]",Karan Keinert,"<span class=""price""></span>",Mon 08-Oct-18,2,Richlands,LJ Hooker - Algester,
