bed,price_des,title,url,date_available,other_feature,median_rent,indoor_feature,car,outdoor_feature,bond,suburb,agent,agency,bathroom,property_type,allowance,description,price,floorplan,property_id,rental_yield,post_code,crawl_date,street_address
[2],$400 p.w.,Under Application,https://www.realestate.com.au/property-apartment-qld-oxley-424726918,Wed 03-Oct-18,Property Type: Apartment Garaging / carparking: Closed carport,"<span class=""price""></span>","Ensuite:,1",[1],"Remote Garage,Garage Spaces:,1,Fully Fenced","$1,600",Oxley,Jess Kindt,Harcourts Marketplace - OXLEY,[2],Apartment,Pet Friendly,"Be the very first to enjoy this sparkling, brand new apartment located in the heart of the Oxley retail hub. ","$400,$400,",Not provided,[424726918],"<span class=""rate""></span>",4075,"[datetime.date(2018, 9, 26)]",5/100 Ellen Street
[3],$485.00 per week,"3 Bedroom Queenslander - Stroll to Graceville High Side Cafe's, Restaurants, Shops",https://www.realestate.com.au/property-house-qld-graceville-416662073,Mon 05-Nov-18,Verandah,"<span class=""price""></span>","Living Areas:,1,Air Conditioning",[2],"Open Car Spaces:,2","$1,940",Graceville,Moira Dixon,Walsh and Dixon Real Estate - Graceville,[1],House,Pet Friendly,At $485.00 per week this is great value for those seeking a comfortable home in a great area.,"$485,$485,",Not provided,[416662073],"<span class=""rate""></span>",4075,"[datetime.date(2018, 9, 26)]",7 Kew Road
[1],CONTACT AGENT,Recently Updated One Bedroom Apartment  Heart of Sherwood!,https://www.realestate.com.au/property-unit-qld-sherwood-424582386,Available Now,,"<span class=""price""></span>",Air Conditioning,[1],"Garage Spaces:,1","$1,080",Sherwood,Lauren MacDonald,Image Property - FORTITUDE VALLEY,[1],Unit,,"This light & airy fully one-bedroom unit is now ready to call home. Offering an air conditioned open plan living area providing easy access to the kitchen and meals area, well-sized bedroom and spacious ensuite bathroom. The bedroom features a built in, brand new carpet and ceiling fan, with access to the ensuite bathroom. For added security and privacy the unit is fitted with security screens and brand new roller blinds throughout.",,http://www.inspectrealestate.com.au/RegisterOnline/Register.aspx?agentID=metbne01&uniqueID=69314&source=REA,[424582386],"<span class=""rate""></span>",4075,"[datetime.date(2018, 9, 26)]",1/12 Skew Street
[3],$355/week+1wk Free,23/15 James Edward Street Richlands,https://www.realestate.com.au/property-townhouse-qld-richlands-424417126,Available Now,,"<span class=""price""></span>","Ensuite:,1,Toilets:,3",[1],"Remote Garage,Garage Spaces:,1","$1,440",Richlands,Richlands Rise,Australian Property Management Alliance - Mango Hill,[2],Townhouse,,"Newly refurbished looks and well spaced rooms, it is perfect for couples and small families!","$355,$355,",Not provided,[424417126],"<span class=""rate""></span>",4077,"[datetime.date(2018, 9, 26)]",23/15 James Edward Street
[5],$800.00 per week,Beautifully Renovated Character Home,https://www.realestate.com.au/property-house-qld-corinda-415139847,Mon 05-Nov-18,"Balcony, Deck, Verandah, Terrace/paved, Indoor entertainment area, Outdoor entertainment area","<span class=""price""></span>","Ensuite:,2,Living Areas:,2,Study,Dishwasher,Air Conditioning",[4],"Secure Parking,Carport Spaces:,2,Garage Spaces:,2,Balcony,Deck,Outdoor Entertaining Area,Fully Fenced","$3,400",Corinda,Moira Dixon,Walsh and Dixon Real Estate - Graceville,[3],House,,"High on the Hill, Fabulous Views, Recently Renovated Character Home, Massive Front Veranda, Perfect Entertainer.","$800,$800,",https://www.realestate.com.au/floorplan_new.ds?id=415139847&theme=rea.rent,[415139847],"<span class=""rate""></span>",4075,"[datetime.date(2018, 9, 26)]",208 Cliveden Avenue
[6],$620 per week,Room for the whole EXTENDED family and PET FREINDLY!,https://www.realestate.com.au/property-house-qld-inala-424745322,Available Now,"Built-In Wardrobes, Close to Schools, Close to Shops, Close to Transport, Ceiling Fans","<span class=""price""></span>","Toilets:,3",[4],"Garage Spaces:,2,Open Car Spaces:,2","$2,480",Inala,Courtney Pearson,One Agency - Forest Lake,[3],House,Pet Friendly,Looking for the perfect home that has space for the whole family?  Or are you looking for the perfect teenagers retreat for those that aren't ready to leave the nest? Look no further because this property has it all!,"$620,$620,",Not provided,[424745322],"<span class=""rate""></span>",4077,"[datetime.date(2018, 9, 26)]",4 Cygnus Street
[4],$850.00 per week,Lovely Renovated Queenslander - In Ground Pool,https://www.realestate.com.au/property-house-qld-sherwood-419582326,Mon 05-Nov-18,"Deck, Terrace/paved, Outdoor entertainment area, Undercover outdoor area, Fenced","<span class=""price""></span>","Ensuite:,1,Living Areas:,2,Toilets:,1,Dishwasher,Air Conditioning",[2],"Garage Spaces:,2,Deck,Outdoor Entertaining Area,Fully Fenced,Swimming Pool - Inground","$3,400",Sherwood,Moira Dixon,Walsh and Dixon Real Estate - Graceville,[3],House,,Enjoy all that this beautiful Queensland Home has to offer.,"$850,$850,",Not provided,[419582326],"<span class=""rate""></span>",4075,"[datetime.date(2018, 9, 26)]",9 Linda St
[4],$490 per week,"QUALITY, SPACE AND GREAT LOCATION",https://www.realestate.com.au/property-house-qld-richlands-424593150,Available Now,"Built-In Wardrobes, Close to Schools, Close to Shops, Close to Transport, Garden","<span class=""price""></span>",Floorboards,[2],"Secure Parking,Garage Spaces:,2,Balcony","$1,960",Richlands,"Ashleah Lucey,Ben Gebbett",Specialists in Property - Bellbird Park,[2],House,Pet Friendly,"If you are looking or a quality home with lots of space in a great location, this one is for you. This home features;","$490,$490,",Not provided,[424593150],"<span class=""rate""></span>",4077,"[datetime.date(2018, 9, 26)]",25 Balgowan Street
[3],$370 p.w.,Spacious Pet-Friendly Home Within Walking Distance to Train,https://www.realestate.com.au/property-house-qld-oxley-424584770,Sat 29-Sep-18,Property Type: House Garaging / carparking: Single lock-up,"<span class=""price""></span>",,[3],"Garage Spaces:,1,Open Car Spaces:,2,Fully Fenced","$1,480",Oxley,Jess Kindt,Harcourts Marketplace - OXLEY,[1],House,Pet Friendly,"This lovely home, elevated at the top of Moffat Street is awesome value. Boasting polished timber floors, modern kitchen and ceiling fans and screens throughout, this wonderful property will no doubt be snapped up quickly! If you think it already sounds perfect, just wait until you see the huge storage area and fully-fenced pet and kid friendly yard which has further room to park trailers or vehicles..","$370,$370,",Not provided,[424584770],"<span class=""rate""></span>",4075,"[datetime.date(2018, 9, 26)]",6 Moffat Street
[5],$950,Grand Design with River Views,https://www.realestate.com.au/property-house-qld-fig+tree+pocket-424738962,Mon 08-Oct-18,,"<span class=""price""></span>",,[3],"Garage Spaces:,3","$3,800",Fig Tree Pocket,Rentals Indooroopilly,Ray White Indooroopilly - INDOOROOPILLY,[3],House,,"The grandest of living spaces awaits you at 273 Kenmore Road. With a complete renovation of the kitchen, bathrooms and floors you'll be delighted by the possibilities this property affords.","$950,$950,",Not provided,[424738962],"<span class=""rate""></span>",4069,"[datetime.date(2018, 9, 26)]",273 Kenmore Road
