title,price,url,indoor_feature,bed,description,car,median_rent,other_feature,post_code,property_type,property_id,bond,rental_yield,crawl_date,price_des,street_address,agency,bathroom,suburb,floorplan,agent,date_available,outdoor_feature
Private and very cute house!,"$400,$400,",https://www.realestate.com.au/property-house-qld-corinda-424794666,"Toilets:,1,Floorboards,Built-in Wardrobes,Dishwasher,Air Conditioning",[2],Positioned in a quiet street you wouldn’t know you are so close to all amenities.,[2],"<span class=""price""></span>",,4075,House,[424794666],"$1,600","<span class=""rate""></span>","[datetime.date(2018, 9, 26)]",$400 per week,29 Oxley Tce,Place - Graceville,[1],Corinda,Not provided,"Jonathan Najarro,Jaclyn Lazarou",Sat 06-Oct-18,"Carport Spaces:,2,Deck"
Beautifully Renovated Character Home,"$800,$800,,00,00,",https://www.realestate.com.au/property-house-qld-corinda-415139847,"Ensuite:,2,Living Areas:,2,Study,Dishwasher,Air Conditioning",[5],"High on the Hill, Fabulous Views, Recently Renovated Character Home, Massive Front Veranda, Perfect Entertainer.",[4],"<span class=""price""></span>","Balcony, Deck, Verandah, Terrace/paved, Indoor entertainment area, Outdoor entertainment area",4075,House,[415139847],"$3,400","<span class=""rate""></span>","[datetime.date(2018, 9, 26)]",$800.00 per week,208 Cliveden Avenue,Walsh and Dixon Real Estate - Graceville,[3],Corinda,https://www.realestate.com.au/floorplan_new.ds?id=415139847&theme=rea.rent,Moira Dixon,Mon 05-Nov-18,"Secure Parking,Carport Spaces:,2,Garage Spaces:,2,Balcony,Deck,Outdoor Entertaining Area,Fully Fenced"
Under Application,"$400,$400,",https://www.realestate.com.au/property-apartment-qld-oxley-424726918,"Ensuite:,1",[2],"Be the very first to enjoy this sparkling, brand new apartment located in the heart of the Oxley retail hub. ",[1],"<span class=""price""></span>",Property Type: Apartment Garaging / carparking: Closed carport,4075,Apartment,[424726918],"$1,600","<span class=""rate""></span>","[datetime.date(2018, 9, 26)]",$400 p.w.,5/100 Ellen Street,Harcourts Marketplace - OXLEY,[2],Oxley,Not provided,Jess Kindt,Wed 03-Oct-18,"Remote Garage,Garage Spaces:,1,Fully Fenced"
Spectacular family home in desirable location!,"$700,$700,",https://www.realestate.com.au/property-house-qld-corinda-424619930,"Toilets:,3,Air Conditioning",[4],"The grand proportions of this newly constructed single level home are evident from your first step into the welcoming foyer, ensuring space will never be lacking with ample room for a large family or frequent entertainers. Offering three separate entertaining areas and four generous bedrooms spread out over a spacious and unique floor plan, this home exceeds all expectations and is sure to impress. Situated in a sought after, family friendly street that enjoys easy access to parklands, playgrounds, dog park and walking tracks. ",[2],"<span class=""price""></span>","Built-In Wardrobes, Close to Schools, Close to Shops, Close to Transport, Garden",4075,House,[424619930],"$2,800","<span class=""rate""></span>","[datetime.date(2018, 9, 26)]",$700 per week,128 Lynne Grove Avenue,Ray White - Toowong,[2],Corinda,https://www.realestate.com.au/floorplan_new.ds?id=424619930&theme=rea.rent,Brandon Collinson,Available Now,"Garage Spaces:,2"
"MODERN, SPACIOUS, STUNNING CITY VIEWS!","$450,$450,",https://www.realestate.com.au/property-apartment-qld-sherwood-424734602,"Ensuite:,1,Intercom,Built-in Wardrobes,Dishwasher,Air Conditioning",[2],"This near new, spacious apartment is sure to impress! Finished to the highest standard with a modern layout, you won't want to miss the chance to inspect. This boutique complex is located only a 700m walk to the Sherwood train station, allowing you to take full advantage of the public transport facilities. ",[2],"<span class=""price""></span>",,4075,Apartment,[424734602],"$1,800","<span class=""rate""></span>","[datetime.date(2018, 9, 26)]",$450 per week,403/47 Hood Street,Image Property - ASPLEY,[2],Sherwood,http://www.inspectrealestate.com.au/RegisterOnline/Register.aspx?agentID=ipm03&uniqueID=43117.1&source=REA,Tahlia Halstead,Wed 31-Oct-18,"Remote Garage,Secure Parking,Garage Spaces:,2,Balcony"
Under Application,"$325,$325,",https://www.realestate.com.au/property-house-qld-darra-424727482,"Built-in Wardrobes,Dishwasher,Air Conditioning",[3],"Looking for a great place for the kids and dogs to have room to run around? This lovely home is for you. Boasting timber floors throughout, screens, air-conditioning in master bedroom and shed for additional storage, this neat and tidy home is a great property to secure!",[3],"<span class=""price""></span>",Property Type: House Garaging / carparking: Open carport,4076,House,[424727482],"$1,300","<span class=""rate""></span>","[datetime.date(2018, 9, 26)]",$325 p.w.,24 Kokoda Street,Harcourts Marketplace - OXLEY,[1],Darra,Not provided,Jess Kindt,Available Now,"Carport Spaces:,1,Open Car Spaces:,2,Fully Fenced"
Lovely Renovated Queenslander - In Ground Pool,"$850,$850,,00,00,",https://www.realestate.com.au/property-house-qld-sherwood-419582326,"Ensuite:,1,Living Areas:,2,Toilets:,1,Dishwasher,Air Conditioning",[4],Enjoy all that this beautiful Queensland Home has to offer.,[2],"<span class=""price""></span>","Deck, Terrace/paved, Outdoor entertainment area, Undercover outdoor area, Fenced",4075,House,[419582326],"$3,400","<span class=""rate""></span>","[datetime.date(2018, 9, 26)]",$850.00 per week,9 Linda St,Walsh and Dixon Real Estate - Graceville,[3],Sherwood,Not provided,Moira Dixon,Mon 05-Nov-18,"Garage Spaces:,2,Deck,Outdoor Entertaining Area,Fully Fenced,Swimming Pool - Inground"
"3 Bedroom Queenslander - Stroll to Graceville High Side Cafe's, Restaurants, Shops","$485,$485,,00,00,",https://www.realestate.com.au/property-house-qld-graceville-416662073,"Living Areas:,1,Air Conditioning",[3],At $485.00 per week this is great value for those seeking a comfortable home in a great area.,[2],"<span class=""price""></span>",Verandah,4075,House,[416662073],"$1,940","<span class=""rate""></span>","[datetime.date(2018, 9, 26)]",$485.00 per week,7 Kew Road,Walsh and Dixon Real Estate - Graceville,[1],Graceville,Not provided,Moira Dixon,Mon 05-Nov-18,"Open Car Spaces:,2"
Modern Large bedroom in Oxley,"$440,$440,",https://www.realestate.com.au/property-unit-qld-oxley-424741470,"Toilets:,2,Air Conditioning",[2],"Set on level two of this contemporary block this stylish, modern, fully air conditioned unit has two carpeted double bedrooms with built in robes.",[1],"<span class=""price""></span>","Built-In Wardrobes, Close to Schools, Close to Shops, Close to Transport",4075,Unit,[424741470],"$1,760","<span class=""rate""></span>","[datetime.date(2018, 9, 26)]",$440 per week,209/61 Ellen Street,Tessa Residential New Farm - NEW FARM,[2],Oxley,Not provided,Leasing Oxley,Available Now,"Secure Parking,Garage Spaces:,1"
Fantastic Position!,"$400,$400,",https://www.realestate.com.au/property-house-qld-oxley-424784614,"Living Areas:,1,Toilets:,1,Floorboards,Built-in Wardrobes,Dishwasher",[3],A fantastic property and all ready for you to enjoy. ,[3],"<span class=""price""></span>",,4075,House,[424784614],"$1,600","<span class=""rate""></span>","[datetime.date(2018, 9, 26)]",$400 Per Week,45 Cook Street,Place - Graceville,[1],Oxley,Not provided,"Jonathan Najarro,Jaclyn Lazarou",Thu 18-Oct-18,"Garage Spaces:,2,Open Car Spaces:,1,Deck"
